Date,Open,High,Low,Close,Adj Close,Volume
2025-06-26,4950.0,5025.0,4910.0,5025.0,4524.47998046875,94704500
2025-06-30,5050.0,5050.0,4880.0,4880.0,4393.9228515625,220479900
2025-07-01,4900.0,4910.0,4710.0,4750.0,4276.87158203125,319875800
2025-07-02,4730.0,4770.0,4710.0,4770.0,4294.87939453125,159152200
2025-07-03,4780.0,4850.0,4720.0,4740.0,4267.86767578125,103849000
2025-07-04,4750.0,4790.0,4700.0,4740.0,4267.86767578125,104170500
2025-07-07,4740.0,4750.0,4680.0,4740.0,4267.86767578125,120538300
2025-07-08,4710.0,4750.0,4700.0,4720.0,4249.85986328125,132853800
2025-07-09,4720.0,4760.0,4670.0,4710.0,4240.85595703125,110198500
2025-07-10,4750.0,4830.0,4730.0,4820.0,4339.89892578125,160889700
2025-07-11,4850.0,4990.0,4830.0,4970.0,4474.9580078125,219980300
2025-07-14,4980.0,4990.0,4670.0,4690.0,4222.84814453125,429438700
2025-07-15,4700.0,4740.0,4690.0,4700.0,4231.85205078125,206958200
2025-07-16,4730.0,4760.0,4680.0,4690.0,4222.84814453125,323831100
2025-07-17,4700.0,4720.0,4680.0,4720.0,4249.85986328125,120304000
2025-07-18,4760.0,4810.0,4720.0,4740.0,4267.86767578125,161262400
2025-07-21,4770.0,4770.0,4680.0,4680.0,4213.84423828125,103387400
2025-07-22,4680.0,4710.0,4650.0,4660.0,4195.83642578125,132984400
2025-07-23,4660.0,4690.0,4660.0,4680.0,4213.84423828125,115298400
2025-07-24,4690.0,4840.0,4680.0,4800.0,4321.89111328125,273623100
2025-07-25,4800.0,4800.0,4690.0,4690.0,4222.84814453125,88471700
2025-07-28,4730.0,4750.0,4690.0,4700.0,4231.85205078125,112048900
2025-07-29,4700.0,4720.0,4690.0,4710.0,4240.85595703125,74422700
2025-07-30,4710.0,4720.0,4620.0,4620.0,4159.82080078125,141263400
2025-07-31,4610.0,4640.0,4510.0,4510.0,4060.777099609375,155903600
2025-08-01,4570.0,4610.0,4510.0,4530.0,4078.784912109375,157949900
2025-08-04,4530.0,4630.0,4510.0,4620.0,4159.82080078125,174404800
2025-08-05,4690.0,4780.0,4660.0,4750.0,4276.87158203125,277668300
2025-08-06,4750.0,4750.0,4690.0,4700.0,4231.85205078125,79277900
2025-08-07,4740.0,4740.0,4680.0,4680.0,4213.84423828125,61453100
2025-08-08,4680.0,4700.0,4660.0,4670.0,4204.84033203125,71516700
2025-08-11,4710.0,4780.0,4700.0,4720.0,4249.85986328125,105204200
2025-08-12,4770.0,4920.0,4750.0,4910.0,4420.9345703125,301599000
2025-08-13,4930.0,4970.0,4860.0,4870.0,4384.9189453125,180844900
2025-08-14,4910.0,4930.0,4840.0,4850.0,4366.9111328125,109457100
2025-08-15,4890.0,4930.0,4850.0,4850.0,4366.9111328125,126685400
2025-08-19,4860.0,4870.0,4780.0,4800.0,4321.89111328125,116454000
2025-08-20,4790.0,4950.0,4780.0,4950.0,4456.9501953125,144622900
2025-08-21,4950.0,4950.0,4860.0,4900.0,4411.9306640625,132019200
2025-08-22,4920.0,4920.0,4870.0,4890.0,4402.92724609375,73104500
2025-08-25,4950.0,4980.0,4920.0,4950.0,4456.9501953125,149580800
2025-08-26,4950.0,4950.0,4860.0,4900.0,4411.9306640625,308891700
2025-08-27,4840.0,4880.0,4800.0,4800.0,4321.89111328125,113576300
2025-08-28,4790.0,4850.0,4770.0,4770.0,4294.87939453125,111707400
2025-08-29,4720.0,4750.0,4660.0,4730.0,4258.86376953125,176485100
2025-09-01,4550.0,4670.0,4460.0,4600.0,4141.8125,320335300
2025-09-02,4610.0,4670.0,4560.0,4570.0,4114.80078125,150045600
2025-09-03,4620.0,4660.0,4570.0,4620.0,4159.82080078125,131617900
2025-09-04,4630.0,4680.0,4620.0,4680.0,4213.84423828125,88735300
2025-09-08,4750.0,4750.0,4460.0,4490.0,4042.769287109375,200234500
2025-09-09,4450.0,4480.0,4310.0,4310.0,3880.6982421875,509366600
2025-09-10,4360.0,4420.0,4350.0,4400.0,3961.73388671875,293494200
2025-09-11,4480.0,4540.0,4450.0,4480.0,4033.76513671875,366697800
2025-09-12,4500.0,4550.0,4480.0,4520.0,4069.78125,216960200
2025-09-15,4550.0,4640.0,4520.0,4530.0,4078.784912109375,231346000
2025-09-16,4570.0,4570.0,4460.0,4480.0,4033.76513671875,122027400
2025-09-17,4480.0,4520.0,4440.0,4510.0,4060.777099609375,232702500
2025-09-18,4540.0,4550.0,4420.0,4420.0,3979.74169921875,177560100
2025-09-19,4350.0,4420.0,4330.0,4380.0,3943.725830078125,235975900
2025-09-22,4410.0,4420.0,4360.0,4420.0,3979.74169921875,107176100
2025-09-23,4390.0,4430.0,4370.0,4410.0,3970.73779296875,90675500
2025-09-24,4410.0,4430.0,4390.0,4390.0,3952.72998046875,85439100
2025-09-25,4400.0,4410.0,4360.0,4360.0,3925.718017578125,73946900
2025-09-26,4350.0,4430.0,4350.0,4420.0,3979.74169921875,86572900
2025-09-29,4420.0,4430.0,4400.0,4400.0,3961.73388671875,63753600
2025-09-30,4420.0,4450.0,4380.0,4400.0,3961.73388671875,108639600
2025-10-01,4360.0,4400.0,4350.0,4380.0,3943.725830078125,92265100
2025-10-02,4410.0,4440.0,4360.0,4360.0,3925.718017578125,93387400
2025-10-03,4370.0,4380.0,4300.0,4310.0,3880.6982421875,102459100
2025-10-06,4320.0,4330.0,4260.0,4260.0,3835.678466796875,96040500
2025-10-07,4260.0,4320.0,4250.0,4290.0,3862.6904296875,100237500
2025-10-08,4280.0,4290.0,4210.0,4250.0,3826.674560546875,97466800
2025-10-09,4240.0,4450.0,4200.0,4390.0,3952.72998046875,183242600
2025-10-10,4410.0,4420.0,4250.0,4250.0,3826.674560546875,139911200
2025-10-13,4210.0,4240.0,4200.0,4230.0,3808.6669921875,79178600
2025-10-14,4220.0,4270.0,4090.0,4090.0,3682.611572265625,188507000
2025-10-15,4110.0,4140.0,4010.0,4050.0,3646.595703125,270562400
2025-10-16,4050.0,4150.0,4050.0,4090.0,3682.611572265625,125979600
2025-10-17,4110.0,4110.0,4030.0,4050.0,3646.595703125,247510000
2025-10-20,4120.0,4320.0,4070.0,4300.0,3871.6943359375,331939200
2025-10-21,4350.0,4390.0,4300.0,4350.0,3916.714111328125,230858900
2025-10-22,4350.0,4460.0,4290.0,4330.0,3898.706298828125,216261300
2025-10-23,4310.0,4440.0,4310.0,4430.0,3988.745361328125,202102500
2025-10-24,4380.0,4590.0,4380.0,4550.0,4096.79248046875,350420300
2025-10-27,4590.0,4600.0,4410.0,4470.0,4024.761474609375,245576100
2025-10-28,4490.0,4510.0,4440.0,4510.0,4060.777099609375,174666600
2025-10-29,4500.0,4650.0,4490.0,4650.0,4186.83203125,176978800
2025-10-30,4670.0,4830.0,4650.0,4800.0,4321.89111328125,390256000
2025-10-31,4790.0,4800.0,4720.0,4720.0,4249.85986328125,227378000
2025-11-03,4710.0,4760.0,4700.0,4760.0,4285.87548828125,129834200
2025-11-04,4760.0,4790.0,4720.0,4730.0,4258.86376953125,136412400
2025-11-05,4690.0,4770.0,4680.0,4770.0,4294.87939453125,102878900
2025-11-06,4790.0,4790.0,4750.0,4750.0,4276.87158203125,57932600
2025-11-07,4750.0,4780.0,4740.0,4750.0,4276.87158203125,58845500
2025-11-10,4790.0,4790.0,4730.0,4730.0,4258.86376953125,88738200
2025-11-11,4740.0,4750.0,4610.0,4680.0,4213.84423828125,168794500
2025-11-12,4680.0,4790.0,4680.0,4760.0,4285.87548828125,138539800
2025-11-13,4760.0,4760.0,4690.0,4700.0,4231.85205078125,108100300
2025-11-14,4690.0,4750.0,4680.0,4750.0,4276.87158203125,73479600
2025-11-17,4780.0,4850.0,4770.0,4820.0,4339.89892578125,136477100
2025-11-18,4810.0,4850.0,4780.0,4790.0,4312.8876953125,127022100
2025-11-19,4820.0,4850.0,4800.0,4850.0,4366.9111328125,107585700
2025-11-20,4940.0,4990.0,4900.0,4940.0,4447.94677734375,234717700
2025-11-21,4940.0,4970.0,4900.0,4950.0,4456.9501953125,142452600
2025-11-24,4910.0,5100.0,4870.0,5100.0,4592.00927734375,303252000
2025-11-25,5075.0,5100.0,4950.0,5025.0,4524.47998046875,169379300
2025-11-26,5025.0,5025.0,4960.0,5025.0,4524.47998046875,128492000
2025-11-27,5025.0,5025.0,4850.0,4860.0,4375.9150390625,170213000
2025-11-28,4800.0,4880.0,4800.0,4830.0,4348.9033203125,128777200
2025-12-01,4850.0,4910.0,4820.0,4860.0,4375.9150390625,58603700
2025-12-02,4920.0,4940.0,4820.0,4850.0,4366.9111328125,104013500
2025-12-03,4850.0,4920.0,4820.0,4880.0,4393.9228515625,102556300
2025-12-04,4930.0,4940.0,4880.0,4920.0,4429.9384765625,59392600
2025-12-05,4940.0,4940.0,4870.0,4900.0,4411.9306640625,53969200
2025-12-08,4950.0,4960.0,4910.0,4950.0,4456.9501953125,62947600
2025-12-09,4970.0,4980.0,4870.0,4890.0,4402.92724609375,134575200
2025-12-10,4950.0,4970.0,4870.0,4970.0,4474.9580078125,96005900
2025-12-11,5000.0,5050.0,4830.0,4950.0,4456.9501953125,151956700
2025-12-12,4980.0,4980.0,4820.0,4820.0,4339.89892578125,111830600
2025-12-15,4820.0,5025.0,4790.0,4990.0,4492.96630859375,122451500
2025-12-16,5025.0,5050.0,4920.0,5000.0,4501.97021484375,137373200
2025-12-17,4990.0,5025.0,4960.0,5025.0,4524.47998046875,94254100
2025-12-18,5025.0,5175.0,5025.0,5150.0,4637.029296875,150669000
2025-12-19,5175.0,5200.0,5100.0,5175.0,4659.53955078125,161960800
2025-12-22,5175.0,5200.0,5025.0,5100.0,4592.00927734375,93615600
