Date,Open,High,Low,Close,Adj Close,Volume
2025-06-26,4440.0,4450.0,4410.0,4450.0,4164.53125,26909800
2025-06-30,4470.0,4520.0,4450.0,4500.0,4211.32373046875,41865200
2025-07-01,4490.0,4510.0,4440.0,4450.0,4164.53125,27410600
2025-07-02,4450.0,4550.0,4440.0,4540.0,4248.75830078125,34231600
2025-07-03,4540.0,4590.0,4530.0,4570.0,4276.8330078125,24120100
2025-07-04,4600.0,4650.0,4570.0,4620.0,4323.6259765625,25298100
2025-07-07,4620.0,4680.0,4590.0,4680.0,4379.77685546875,20181800
2025-07-08,4670.0,4670.0,4620.0,4660.0,4361.06005859375,21173700
2025-07-09,4680.0,4720.0,4670.0,4720.0,4417.2109375,32577400
2025-07-10,4720.0,4730.0,4680.0,4680.0,4379.77685546875,21464100
2025-07-11,4720.0,4720.0,4680.0,4710.0,4407.8525390625,19382400
2025-07-14,4710.0,4750.0,4650.0,4700.0,4398.49365234375,32985800
2025-07-15,4700.0,4700.0,4630.0,4700.0,4398.49365234375,25045900
2025-07-16,4700.0,4810.0,4690.0,4750.0,4445.2861328125,53394000
2025-07-17,4750.0,4820.0,4730.0,4790.0,4482.72021484375,37859000
2025-07-18,4810.0,4840.0,4750.0,4750.0,4445.2861328125,23680400
2025-07-21,4810.0,4810.0,4720.0,4760.0,4454.64501953125,17018900
2025-07-22,4760.0,4760.0,4680.0,4690.0,4389.13525390625,47232600
2025-07-23,4740.0,4950.0,4720.0,4950.0,4632.45654296875,94669900
2025-07-24,4990.0,5075.0,4980.0,5050.0,4726.04150390625,72459700
2025-07-25,5000.0,5050.0,4950.0,5000.0,4679.2490234375,28079000
2025-07-28,5025.0,5100.0,4990.0,5100.0,4772.833984375,59414600
2025-07-29,5100.0,5125.0,5025.0,5100.0,4772.833984375,36861000
2025-07-30,5100.0,5150.0,5075.0,5150.0,4819.62646484375,53075600
2025-07-31,5150.0,5175.0,5100.0,5100.0,4772.833984375,44048400
2025-08-01,5125.0,5150.0,4960.0,5000.0,4679.2490234375,33392000
2025-08-04,5000.0,5050.0,4940.0,5025.0,4702.64501953125,21561700
2025-08-05,5050.0,5050.0,4990.0,5025.0,4702.64501953125,20210600
2025-08-06,5025.0,5025.0,4900.0,4900.0,4585.6640625,24786300
2025-08-07,4920.0,5025.0,4920.0,4960.0,4641.814453125,25930000
2025-08-08,4950.0,4990.0,4920.0,4920.0,4604.380859375,20639400
2025-08-11,4920.0,4930.0,4870.0,4900.0,4585.6640625,21955000
2025-08-12,4900.0,5025.0,4890.0,4990.0,4669.89013671875,22725500
2025-08-13,5100.0,5250.0,5025.0,5175.0,4843.0224609375,103458500
2025-08-14,5125.0,5150.0,5075.0,5100.0,4772.833984375,31796500
2025-08-15,5100.0,5125.0,5025.0,5025.0,4702.64501953125,16434700
2025-08-19,5275.0,5575.0,5200.0,5525.0,5170.56982421875,260942000
2025-08-20,5525.0,5550.0,5450.0,5525.0,5170.56982421875,74517000
2025-08-21,5525.0,5650.0,5500.0,5625.0,5264.1552734375,76746200
2025-08-22,5650.0,5775.0,5600.0,5700.0,5334.34375,73126900
2025-08-25,5750.0,5775.0,5675.0,5750.0,5381.13623046875,60737900
2025-08-26,5725.0,5725.0,5475.0,5625.0,5264.1552734375,79136200
2025-08-27,5650.0,5725.0,5500.0,5500.0,5147.17333984375,33172600
2025-08-28,5525.0,5650.0,5525.0,5575.0,5217.3623046875,18032900
2025-08-29,5450.0,5625.0,5425.0,5500.0,5147.17333984375,62869000
2025-09-01,5200.0,5500.0,5200.0,5450.0,5100.380859375,67904000
2025-09-02,5500.0,5550.0,5400.0,5475.0,5123.77734375,21623300
2025-09-03,5525.0,5650.0,5450.0,5500.0,5147.17333984375,45471600
2025-09-04,5500.0,5500.0,5400.0,5500.0,5147.17333984375,26987400
2025-09-08,5600.0,5600.0,5350.0,5425.0,5076.98486328125,57081800
2025-09-09,5400.0,5600.0,5350.0,5525.0,5170.56982421875,49240100
2025-09-10,5525.0,5525.0,5400.0,5475.0,5123.77734375,22964700
2025-09-11,5475.0,5600.0,5450.0,5550.0,5193.9658203125,28151500
2025-09-12,5625.0,5700.0,5600.0,5675.0,5310.94775390625,30653500
2025-09-15,5675.0,5700.0,5600.0,5625.0,5264.1552734375,26368000
2025-09-16,5650.0,5675.0,5600.0,5650.0,5287.55126953125,15987900
2025-09-17,5650.0,5700.0,5600.0,5700.0,5334.34375,23879700
2025-09-18,5700.0,5725.0,5550.0,5575.0,5217.3623046875,27261300
2025-09-19,5575.0,5750.0,5575.0,5725.0,5357.740234375,52162200
2025-09-22,5725.0,5725.0,5625.0,5700.0,5334.34375,35106300
2025-09-23,5675.0,5950.0,5650.0,5900.0,5521.513671875,41044200
2025-09-24,5950.0,5950.0,5850.0,5900.0,5521.513671875,61167600
2025-09-25,5900.0,5900.0,5750.0,5775.0,5404.53271484375,35805100
2025-09-26,5875.0,6000.0,5775.0,5875.0,5498.11767578125,42677800
2025-09-29,5875.0,5900.0,5750.0,5775.0,5404.53271484375,20892700
2025-09-30,5750.0,5825.0,5700.0,5775.0,5404.53271484375,41266900
2025-10-01,5825.0,5850.0,5650.0,5675.0,5310.94775390625,26508200
2025-10-02,5750.0,5750.0,5625.0,5700.0,5334.34375,29346300
2025-10-03,5750.0,5850.0,5750.0,5825.0,5451.3251953125,27951100
2025-10-06,5900.0,5925.0,5800.0,5825.0,5451.3251953125,21809400
2025-10-07,5925.0,6050.0,5725.0,5750.0,5381.13623046875,43328700
2025-10-08,5825.0,5875.0,5650.0,5725.0,5357.740234375,30080700
2025-10-09,5775.0,5925.0,5750.0,5925.0,5544.90966796875,27699300
2025-10-10,5925.0,5950.0,5850.0,5900.0,5521.513671875,27133800
2025-10-13,5850.0,5925.0,5775.0,5800.0,5427.9287109375,29034500
2025-10-14,5800.0,6025.0,5800.0,5825.0,5545.0166015625,53096200
2025-10-15,5950.0,5950.0,5750.0,5775.0,5497.419921875,96604500
2025-10-16,5850.0,5850.0,5750.0,5750.0,5473.62158203125,15044500
2025-10-17,5725.0,5800.0,5575.0,5625.0,5354.6298828125,31793700
2025-10-20,5625.0,5925.0,5625.0,5925.0,5640.2099609375,29959700
2025-10-21,6000.0,6050.0,5900.0,6000.0,5711.60498046875,46181700
2025-10-22,6050.0,6300.0,6000.0,6175.0,5878.193359375,98615300
2025-10-23,6075.0,6400.0,6075.0,6325.0,6020.9833984375,60009000
2025-10-24,6375.0,6675.0,6350.0,6575.0,6258.96728515625,93344500
2025-10-27,6600.0,6725.0,6375.0,6600.0,6282.765625,64262300
2025-10-28,6600.0,6600.0,6275.0,6325.0,6020.9833984375,37953500
2025-10-29,6250.0,6500.0,6225.0,6475.0,6163.7734375,39818900
2025-10-30,6425.0,6450.0,6250.0,6275.0,5973.38671875,28976800
2025-10-31,6250.0,6300.0,6125.0,6150.0,5854.39501953125,64790000
2025-11-03,6150.0,6450.0,6150.0,6350.0,6044.78173828125,59085000
2025-11-04,6300.0,6375.0,6250.0,6300.0,5997.18505859375,62249200
2025-11-05,6250.0,6325.0,6175.0,6250.0,5949.58837890625,43439100
2025-11-06,6300.0,6350.0,6200.0,6325.0,6020.9833984375,48979900
2025-11-07,6325.0,6450.0,6300.0,6425.0,6116.1767578125,42960800
