Date,Open,High,Low,Close,Adj Close,Volume
2025-06-26,6842.01220703125,6897.39990234375,6817.4111328125,6897.39990234375,6897.39990234375,154075100
2025-06-30,6936.06494140625,6949.27978515625,6876.2587890625,6927.67919921875,6927.67919921875,167652600
2025-07-01,6954.38623046875,6971.23876953125,6885.13818359375,6915.35986328125,6915.35986328125,149285200
2025-07-02,6896.421875,6905.369140625,6838.40380859375,6881.2451171875,6881.2451171875,182041600
2025-07-03,6898.630859375,6922.73388671875,6877.43798828125,6878.05078125,6878.05078125,154435700
2025-07-04,6893.2177734375,6916.673828125,6843.69091796875,6865.19189453125,6865.19189453125,132824800
2025-07-07,6874.0078125,6900.93212890625,6844.86083984375,6900.93212890625,6900.93212890625,120827500
2025-07-08,6892.3408203125,6916.8330078125,6885.2822265625,6904.39208984375,6904.39208984375,151801800
2025-07-09,6918.69921875,6943.921875,6907.212890625,6943.921875,6943.921875,157353100
2025-07-10,6968.7978515625,7013.6298828125,6955.455078125,7005.37109375,7005.37109375,167684600
2025-07-11,7036.2958984375,7055.794921875,7026.48779296875,7047.43798828125,7047.43798828125,165301900
2025-07-14,7130.53515625,7136.2958984375,7071.34423828125,7097.15087890625,7097.15087890625,205642100
2025-07-15,7122.0830078125,7161.8359375,7079.0,7140.47412109375,7140.47412109375,199389400
2025-07-16,7182.64501953125,7216.81396484375,7142.86181640625,7192.01806640625,7192.01806640625,227976400
2025-07-17,7229.259765625,7291.56396484375,7226.1171875,7287.02099609375,7287.02099609375,202116700
2025-07-18,7346.037109375,7401.5791015625,7311.9150390625,7311.9150390625,7311.9150390625,273828000
2025-07-21,7366.31005859375,7408.01220703125,7306.8720703125,7398.19189453125,7398.19189453125,287814600
2025-07-22,7440.2861328125,7457.380859375,7344.73583984375,7344.73583984375,7344.73583984375,279326600
2025-07-23,7378.23095703125,7469.22998046875,7354.99609375,7469.22998046875,7469.22998046875,247067700
2025-07-24,7485.08203125,7568.22314453125,7478.36376953125,7530.90185546875,7530.90185546875,242813700
2025-07-25,7542.375,7552.77490234375,7515.125,7543.5029296875,7543.5029296875,215990900
2025-07-28,7630.751953125,7669.44580078125,7614.76806640625,7614.76806640625,7614.76806640625,229532300
2025-07-29,7625.79296875,7680.19482421875,7565.7880859375,7617.9072265625,7617.9072265625,230535000
2025-07-30,7642.25,7667.55615234375,7528.12890625,7549.88818359375,7549.88818359375,282476700
2025-07-31,7551.244140625,7566.751953125,7476.380859375,7484.3369140625,7484.3369140625,325693000
2025-08-01,7545.15185546875,7579.60595703125,7523.6201171875,7537.76806640625,7537.76806640625,257331800
2025-08-04,7552.49609375,7560.05615234375,7448.0400390625,7464.64501953125,7464.64501953125,266636100
2025-08-05,7502.69482421875,7546.93994140625,7463.05810546875,7515.18505859375,7515.18505859375,246898000
2025-08-06,7534.44677734375,7549.26513671875,7502.01123046875,7503.75,7503.75,260371600
