Date,Open,High,Low,Close,Adj Close,Volume
2025-06-26,3780.0,3830.0,3750.0,3830.0,3466.927001953125,171427000
2025-06-30,3840.0,3840.0,3730.0,3740.0,3385.458740234375,271933200
2025-07-01,3780.0,3790.0,3670.0,3700.0,3349.25048828125,212288800
2025-07-02,3650.0,3700.0,3640.0,3680.0,3331.146484375,220273500
2025-07-03,3710.0,3730.0,3680.0,3680.0,3331.146484375,119674300
2025-07-04,3680.0,3710.0,3650.0,3670.0,3322.094482421875,91141200
2025-07-07,3670.0,3700.0,3650.0,3700.0,3349.25048828125,78783800
2025-07-08,3690.0,3700.0,3650.0,3670.0,3322.094482421875,115551200
2025-07-09,3650.0,3700.0,3650.0,3680.0,3331.146484375,92437900
2025-07-10,3690.0,3880.0,3680.0,3870.0,3503.134765625,290117200
2025-07-11,3920.0,3920.0,3870.0,3880.0,3512.18701171875,255634700
2025-07-14,3880.0,3890.0,3750.0,3780.0,3421.66650390625,167151400
2025-07-15,3800.0,3880.0,3780.0,3880.0,3512.18701171875,183209300
2025-07-16,3950.0,3960.0,3880.0,3880.0,3512.18701171875,241966800
2025-07-17,3930.0,3930.0,3880.0,3890.0,3521.239013671875,111359500
2025-07-18,3910.0,3940.0,3860.0,3860.0,3494.0830078125,111030000
2025-07-21,3890.0,3900.0,3830.0,3830.0,3466.927001953125,89765800
2025-07-22,3860.0,3880.0,3830.0,3840.0,3475.978759765625,84902800
2025-07-23,3840.0,3860.0,3790.0,3800.0,3439.770751953125,132305000
2025-07-24,3830.0,3950.0,3820.0,3950.0,3575.55126953125,206654200
2025-07-25,3950.0,3950.0,3870.0,3880.0,3512.18701171875,86263700
2025-07-28,3940.0,3950.0,3920.0,3940.0,3566.4990234375,94898300
2025-07-29,3930.0,3930.0,3900.0,3920.0,3548.395263671875,98887100
2025-07-30,3910.0,3910.0,3770.0,3780.0,3421.66650390625,206358500
2025-07-31,3780.0,3790.0,3700.0,3710.0,3358.302490234375,163371700
2025-08-01,3800.0,3800.0,3740.0,3740.0,3385.458740234375,134100500
2025-08-04,3720.0,3740.0,3690.0,3710.0,3358.302490234375,104446300
2025-08-05,3700.0,3790.0,3700.0,3740.0,3385.458740234375,184822600
2025-08-06,3770.0,3780.0,3710.0,3710.0,3358.302490234375,100168200
2025-08-07,3730.0,3750.0,3700.0,3710.0,3358.302490234375,92746000
2025-08-08,3710.0,3730.0,3700.0,3700.0,3349.25048828125,133180100
2025-08-11,3720.0,3810.0,3720.0,3810.0,3448.82275390625,143167900
2025-08-12,3860.0,4050.0,3830.0,4050.0,3666.0712890625,404797800
2025-08-13,4060.0,4100.0,3990.0,4080.0,3693.2275390625,292104000
2025-08-14,4080.0,4100.0,4040.0,4060.0,3675.12353515625,164408100
2025-08-15,4100.0,4150.0,4070.0,4120.0,3729.435546875,269255400
2025-08-19,4090.0,4100.0,4010.0,4040.0,3657.01953125,208409700
2025-08-20,4050.0,4150.0,4050.0,4150.0,3756.591796875,173260400
